# airmass pressure eqw
1.090513483519695903e+00 7.457999999999999545e+02 3.271452419894407271e+00
1.089955516295560978e+00 7.457999999999999545e+02 3.242263151073688565e+00
1.089408160049456953e+00 7.457999999999999545e+02 2.932917772201879991e+00
1.079659733704434910e+00 7.459000000000000909e+02 3.179965269298022701e+00
1.079352157522990963e+00 7.459000000000000909e+02 3.252736242768248687e+00
1.078768091712448030e+00 7.459000000000000909e+02 3.254916323105142340e+00
1.074903695700158091e+00 7.460000000000000000e+02 3.233643471937446279e+00
1.074849114001340977e+00 7.460000000000000000e+02 3.238573492252629915e+00
1.074804172831866911e+00 7.460000000000000000e+02 3.196016663803301849e+00
1.074768918134900053e+00 7.460000000000000000e+02 3.224631057581499594e+00
1.076859096660724990e+00 7.459500000000000455e+02 3.164443064251904580e+00
1.077064781074946076e+00 7.459500000000000455e+02 3.235789930552388505e+00
1.077280349420556060e+00 7.459000000000000909e+02 3.230301552820313393e+00
1.085903105742179076e+00 7.459500000000000455e+02 3.262331631997963388e+00
1.086378785497960964e+00 7.459500000000000455e+02 3.255789590577987891e+00
1.875766944937250935e+00 7.457999999999999545e+02 3.065182374628050432e+00
1.875467947634682053e+00 7.457999999999999545e+02 3.356020608570022823e+00
1.874874667355542979e+00 7.457999999999999545e+02 3.186922350400728021e+00
1.510047193259159037e+00 7.457500000000000000e+02 3.555060832469671084e+00
1.505511193608461973e+00 7.457500000000000000e+02 3.337902378254290259e+00
1.501035276007975927e+00 7.457000000000000455e+02 3.419595612787044825e+00
1.496592813973071090e+00 7.457000000000000455e+02 3.520867483492403860e+00
1.403972906625551964e+00 7.457000000000000455e+02 3.295317363072201022e+00
1.400306084317707978e+00 7.457000000000000455e+02 3.195852572817854398e+00
1.396659057686010064e+00 7.457000000000000455e+02 3.265552936464130251e+00
1.393056952263405979e+00 7.457000000000000455e+02 3.299512264919486793e+00
1.266038123470079046e+00 7.457500000000000000e+02 3.295656488969156417e+00
1.260793527568907946e+00 7.457999999999999545e+02 3.155628805028760198e+00
1.203891769201473894e+00 7.457500000000000000e+02 3.082198868339490971e+00
1.199572211425073975e+00 7.457500000000000000e+02 3.129931833933687013e+00
1.197432327750115100e+00 7.457500000000000000e+02 3.060903772339564899e+00
1.153001501007443919e+00 7.456000000000000227e+02 3.426310163023568833e+00
1.151211990970014032e+00 7.456000000000000227e+02 3.258485758417048128e+00
1.149448675048615032e+00 7.456499999999999773e+02 3.123039256239243944e+00
1.147689806306152027e+00 7.456499999999999773e+02 3.076219070840352732e+00
1.106832755605855034e+00 7.455499999999999545e+02 2.906188439625205788e+00
1.076251672814297011e+00 7.454000000000000909e+02 3.205470740809901464e+00
1.075104000574508945e+00 7.454000000000000909e+02 3.319328555601768205e+00
1.073961310787669099e+00 7.454000000000000909e+02 3.057946598181410458e+00
1.044920687800455994e+00 7.454500000000000455e+02 3.132566305327252998e+00
1.042401342144726017e+00 7.453500000000000227e+02 2.934716440007004046e+00
1.025847236526316042e+00 7.452000000000000455e+02 3.055126260999228460e+00
1.025228280929338043e+00 7.451499999999999773e+02 3.081148693987021847e+00
1.024614826677954005e+00 7.451000000000000227e+02 3.128212103201486460e+00
1.024009423349242942e+00 7.451000000000000227e+02 3.181771030469882966e+00
1.012388217560894921e+00 7.448999999999999773e+02 3.111993354204734441e+00
1.011183711378335959e+00 7.448500000000000227e+02 3.167296922940082027e+00
1.838949736643356037e+00 7.447500000000000000e+02 3.408856289262195638e+00
1.839045480770292063e+00 7.447000000000000455e+02 3.488052038527061693e+00
1.839142728072147959e+00 7.447000000000000455e+02 2.856233878572492113e+00
1.839240969692865990e+00 7.447000000000000455e+02 3.129233802060968017e+00
1.862847415273342078e+00 7.441499999999999773e+02 3.276603300694493903e+00
1.863110776919937983e+00 7.441499999999999773e+02 3.253448593563256885e+00
